Type;Nom;Prix Achat;Prix Vente;Contenance;Photo;Stock;Max;Seuil;Allergies;Description
Softs;Coca Cola;0,3;2;20 cl;coca.jpg;56;72;24;Colorant E211;Le Coca-Cola est une boisson gazeuse sucrée de type cola fabriquée par la Coca-Cola Company. Le nom « Coca-Cola » provient de deux ingrédients utilisés pour sa composition originelle : la feuille de coca et la noix de kola.
Softs;Coca Light;0,35;2,3;20 cl;cocalight.jpg;64;72;24;Colorant E211;Le Coca-Cola Light est une version du Coca-Cola sans sucres et sans calories, la marque est commercialisée aux États-Unis et dans d'autres pays sous la marque « Diet Coke ».
Softs;Sprite;0,35;2,3;20 cl;sprite.jpg;35;48;12;Colorant E211;Sprite est une boisson gazeuse à base d'extraits de citron et de lime créée par The Coca-Cola Company en 1961. Son goût est proche de la limonade. Le Sprite contient du dioxyde de carbone, de l'acide citrique, de l'eau gazéifiée, du citrate de sodium, des essences naturelles et du benzoate de sodium.
Softs;Fanta;0,35;2,3;20 cl;fanta.jpg;43;48;12;Colorant E211;Fanta est une boisson gazeuse sucrée au goût d'orange. C'est une marque commerciale de soda allemand produite et distribuée par The Coca-Cola Company.
Softs;Orangina;0,4;2,4;20 cl;orangina.jpg;32;48;12;;Orangina est une boisson gazeuse sucrée française faite à partir d'oranges et de citrons appartenant au groupe Orangina Schweppes, lui-même propriété du groupe Suntory.
Softs;Ice Tea;0,45;2,6;25 cl;icetea.jpg;27;48;12;;Ice Tea est une boisson gazeuse sucrée à base de thé glacé. Elle est commercialisée par PepsiCo. La marque Lipton appartient à Unilever.
Softs;Ice Tea Pêche;0,45;2,6;25 cl;iceteapeche.jpg;35;48;12;;Ice Tea Pêche est une boisson non gazeuse sucrée à base de thé glacé, saveur pêche. Elle est commercialisée par PepsiCo. La marque Lipton appartient à Unilever.
Softs;Schweppes Tonic;0,4;2,4;20 cl;schweppestonic.jpg;41;48;12;;Schweppes Tonic est une eau tonique, contenant des extraits de quinine et d'orange amère qui donnent au breuvage un goût amer. L'Indian Tonic s'inspire de la coutume des colons britanniques stationnés en Inde, qui buvaient régulièrement des breuvages contenant de la quinine pour se prémunir de la malaria.
Softs;Schweppes Agrumes;0,4;2,4;20 cl;schweppesagrumes.jpg;39;48;12;;Schweppes Agrumes est une eau gazeuse sucrée, sans quinie, aromatisée aux saveurs de quatre agrumes : orange, pamplemousse, citron vert, mandarine.
Softs;Oasis;0,4;2,4;20 cl;oasis.jpg;33;48;12;;Oasis est une boisson non gazeuse sucrée aromatisée aux fruits tropicaux, appartenant à Orangina Schweppes Group.
Softs;Cécémel;0,45;2,6;20 cl;cecemel.jpg;17;24;6;Lactose, Histamine;Cécémel est une boisson chocolatée au lait produite par Campina aux Pays-Bas dans la ville d'Amersfoort.
Softs;Sirop à l'eau;0,2;1,5;25 cl;sirop.jpg;42;60;20;;Boisson non gazeuse composée d'eau et de sirop. Goûts disponibles : menthe, grenadine ou fraise.
Softs;Red Bull;0,6;3,9;25 cl;redbull.jpg;51;72;24;;Red Bull est une boisson énergisante contenant de l'eau minérale gazéifiée, de la caféine, de la taurine, de la Vitamine B ainsi que du saccharose et du glucose.
Softs;Jus de fruit;0,4;2,4;20 cl;jusdefruit.jpg;25;50;12;;Jus de fruits fraichement pressés. Saveur disponibles : orange, pomme ou ananas. 
